command,category,users_count,freq_norm_avg,users_sparkline,freq_norm_avg_bar
kill,platform,2,0.009515135845535132,▁▁█▁▁▁▁▁▁▁▁▁▁▁▁,▏             
math floor,math,2,0.009379888973383722,▅█▁▁▁▁▁▁▁▁▁▁▁▁▁,▏             
dfr shape,dataframe,2,0.009206796140308431,██▁▁▁▁▁▁▁▁▁▁▁▁▁,▏             
bytes index-of,bytes,1,0.009180327868852459,▁▁▁█▁▁▁▁▁▁▁▁▁▁▁,▏             
random,random,2,0.009024483846999106,▁█▁▁▁▁▁▁▁▁▁▁▁▁▁,▏             
dfr arg-where,expression,1,0.008946726311508743,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁,▏             
headers,filters,4,0.008444036659579334,▇█▁▇▁▁▁▁▁▁▁▁▅▁▁,▏             
math max,math,1,0.008336722244814965,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁,▏             
dfr is-in,expression,1,0.008336722244814965,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁,▏             
range,filters,3,0.008288091394118678,▃█▁█▁▁▁▁▁▁▁▁▁▁▁,▏             
dfr set,dataframe,2,0.008210283933033892,█▇▁▁▁▁▁▁▁▁▁▁▁▁▁,▏             
path exists,path,5,0.008097535647583646,█▄▆█▁▁▁▁▁▁▁▁▄▁▁,▏             
dfr dtypes,dataframe,1,0.007930052867019113,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁,▏             
to tsv,formats,2,0.007754518363455757,▃▁▁█▁▁▁▁▁▁▁▁▁▁▁,▏             
dfr str-slice,dataframe,1,0.0077267181781211875,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁,▏             
take while,filters,2,0.0077048534414801,▁▁█▁▁▁▁▁▁▁▁▁▁▁▁,▏             
random chars,random,2,0.007569796842123874,▄▁▁▁▁▁▁▁▁▁▁▁█▁▁,▏             
take until,filters,1,0.0075233834892232615,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁,▏             
touch,filesystem,3,0.00746019015671284,▂▄█▁▁▁▁▁▁▁▁▁▁▁▁,▏             
compact,filters,2,0.007370715804772032,▂▁▁█▁▁▁▁▁▁▁▁▁▁▁,▏             
dfr not,dataframe,2,0.0073154390702083166,█▅▁▁▁▁▁▁▁▁▁▁▁▁▁,▏             
keybindings listen,platform,3,0.007199511155482689,▂▁▆█▁▁▁▁▁▁▁▁▁▁▁,▏             
math round,math,2,0.006964643673940719,█▅▁▁▁▁▁▁▁▁▁▁▁▁▁,▏             
format date,date,2,0.006784085082306345,█▁▁▁▁▁▁▁▁▁▁▁▆▁▁,▏             
math ceil,math,2,0.006432842885619238,▁▁▁█▁▁▁▁▁▁▁▁▁▁▁,▏             
break,core,3,0.006400669785139464,▂▁▆█▁▁▁▁▁▁▁▁▁▁▁,▏             
help operators,core,2,0.006331175541170275,▁▁▁█▁▁▁▁▁▁▁▁▁▁▁,▏             
dfr max,expression,1,0.0063033753558357055,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁,▏             
join,filters,3,0.006281665971223842,▂▆▁█▁▁▁▁▁▁▁▁▁▁▁,▏             
ast,debug,2,0.006268523769896051,▄█▁▁▁▁▁▁▁▁▁▁▁▁▁,▏             
dfr fill-null,lazyframe,2,0.0061513049183490156,█▆▁▁▁▁▁▁▁▁▁▁▁▁▁,▏             
